Time,Stations,1002,1102
1:10:44 PM,소태 start,16,12
1:12:18 PM,학동,27,21
1:14:08 PM,남광주,32,34
1:15:39 PM,문화전당,35,34
1:17:21 PM,금남로4가,43,45
1:18:38 PM,금남로5가,45,47
1:20:42 PM,양동시장,42,47
1:22:08 PM,돌고개,42,42
1:24:22 PM,농성,44,39
1:25:47 PM,화정,41,37
1:27:11 PM,쌍촌,40,29
1:28:58 PM,운천,34,35
1:30:39 PM,상무,30,17
1:31:56 PM,김대중,30,16
1:35:12 PM,공항,25,16
1:36:58 PM,송정공원,19,9
1:38:41 PM,광주송정역,10,5
1:40:08 PM,도산,5,3
1:43:35 PM,평동,0,0
1:43:35 PM,평동 start,9,3
1:53:15 PM,도산,9,5
1:54:59 PM,광주송정,14,12
1:56:48 PM,송정공원,20,19
1:58:41 PM,공항,21,19
2:01:46 PM,김대중,21,21
2:03:30 PM,상무,20,27
2:04:59 PM,운천,23,34
2:06:41 PM,쌍촌,24,39
2:08:09 PM,화정,29,40
2:09:40 PM,농성,25,47
2:11:46 PM,돌고개,27,45
2:12:56 PM,양동시장,27,41
2:15:07 PM,금남로5가,27,40
2:16:43 PM,금남로4가,27,25
2:18:02 PM,문화전당,30,20
2:19:43 PM,남광주,6,7
2:21:09 PM,학동,1,3
2:22:49 PM,소태,0,0
2:30:11 PM,소태 start,5,5
2:31:57 PM,학동,12,11
2:33:53 PM,남광주,21,17
2:35:30 PM,문화전당,19,20
2:37:03 PM,금남로4가,21,31
2:37:56 PM,금남로5가,23,35
2:40:08 PM,양동시장,23,37
2:41:30 PM,돌고개,24,36
2:43:35 PM,농성,25,36
2:45:23 PM,화정,23,34
2:46:25 PM,쌍촌,18,32
2:47:59 PM,운천,18,31
2:49:40 PM,상무,17,28
2:51:28 PM,김대중,16,25
2:54:20 PM,공항,16,25
2:56:25 PM,송정공원,11,11
2:57:54 PM,송정역,3,4
2:59:27 PM,도산,2,1
3:02:02 PM,평동,0,0
3:10:50 PM,평동 start,6,2
3:13:35 PM,도산,7,5
3:15:09 PM,송정역,19,13
3:17:01 PM,송정공원,24,18
3:18:51 PM,공항,24,23
3:21:47 PM,김대중,26,22
3:23:35 PM,상무,25,23
3:25:27 PM,운천,27,31
3:26:51 PM,쌍촌,24,33
3:28:14 PM,화정,24,35
3:29:53 PM,농성,22,35
3:31:55 PM,돌고개,26,33
3:33:31 PM,양동시장,29,31
3:35:41 PM,금남로5가,26,28
3:37:03 PM,금남로4가,21,25
3:38:31 PM,문화전당,21,20
3:40:22 PM,남광주,12,8
3:41:59 PM,학동,4,2
3:43:43 PM,소태,0,0
3:50:12 PM,소태 start,8,3
3:53:12 PM,학동,16,9
3:54:37 PM,남광주,29,22
3:55:39 PM,문화전당,33,30
3:57:20 PM,금남로4가,43,39
3:58:29 PM,금남로5가,47,39
4:00:27 PM,양동시장,48,45
4:02:02 PM,돌고개,48,43
4:04:15 PM,농성,46,39
4:05:33 PM,화정,42,38
4:07:07 PM,쌍촌,41,30
4:08:46 PM,운천,37,28
4:10:27 PM,상무,37,27
4:12:04 PM,김대중,37,30
4:15:05 PM,공항,32,27
4:17:05 PM,송정공원,17,18
4:19:07 PM,송정역,7,5
4:20:32 PM,도선,8,3
4:22:58 PM,평동,0,0
4:31:04 PM,평동 start,15,11
4:33:11 PM,도산,15,15
4:35:10 PM,광주송정역,24,21
4:37:02 PM,송정공원,42,43
4:38:46 PM,공항,45,44
4:41:49 PM,김대중,44,44
4:43:21 PM,상무,39,45
4:45:12 PM,운천,38,47
4:46:51 PM,쌍촌,41,50
4:48:13 PM,화정,43,48
4:49:34 PM,농성,37,40
4:51:58 PM,돌고개,38,39
4:53:21 PM,양동시장,28,39
4:55:53 PM,금남로5가,59,33
4:57:04 PM,금남로4가,35,25
4:58:40 PM,문화전당,48,21
5:00:09 PM,남광주,27,9
5:02:06 PM,학동,5,4
5:04:23 PM,소태,0,0
5:10:12 PM,소태 start,4,7
5:12:05 PM,학동,17,20
5:13:56 PM,남광주,30,35
5:15:52 PM,문화전당,45,40
5:17:19 PM,금남로4가,62,50
5:18:37 PM,금남로4가,67,60
5:20:42 PM,양동시장,70,61
5:22:16 PM,돌고개,68,62
5:24:37 PM,농성,60,59
5:25:56 PM,화정,58,59
5:27:29 PM,쌍촌,50,51
5:29:11 PM,운천,48,43
5:30:54 PM,상무,32,42
5:32:06 PM,김대중,34,37
5:35:21 PM,공항,35,34
5:37:18 PM,송정공원,19,28
5:39:01 PM,송정역,7,7
5:40:38 PM,도선,3,1
5:42:58 PM,평동,0,0
5:50:48 PM,평동 start,40,36
5:53:38 PM,도산,43,39
5:55:06 PM,송정역,91,72
5:57:07 PM,송정공원,93,81
5:59:01 PM,공항,97,93
6:02:00 PM,김대중,95,99
6:03:47 PM,상무,102,85
6:05:27 PM,운천,92,85
6:07:03 PM,쌍촌,80,81
6:08:29 PM,화정,84,80
6:10:03 PM,농성,77,73
6:12:16 PM,돌고개,74,72
6:13:26 PM,양동시장,65,77
6:15:34 PM,금남로5가,61,79
6:17:10 PM,금남로4가,57,70
6:18:44 PM,문화전당,40,48
6:20:13 PM,남광주,16,19
